v_in0,v_in1,spice_vout0,pytorch_vout0,abs_err
-9.921969999999999956e-01,-9.960170000000000412e-01,2.982785000000000020e-01,2.982784509658813477e-01,4.903411865431195338e-08
-8.921970000000000178e-01,-9.960170000000000412e-01,3.040065000000000128e-01,3.040064573287963867e-01,4.267120362611009909e-08
-7.921970000000000400e-01,-9.960170000000000412e-01,3.111370999999999998e-01,3.111370205879211426e-01,7.941207885719947512e-08
-6.921969999999999512e-01,-9.960170000000000412e-01,3.196030999999999733e-01,3.196029663085937500e-01,1.336914062233240941e-07
-5.921969999999999734e-01,-9.960170000000000412e-01,3.292921999999999794e-01,3.292920589447021484e-01,1.410552978309276284e-07
-4.921969999999999956e-01,-9.960170000000000412e-01,3.400456000000000034e-01,3.400455117225646973e-01,8.827743530614995393e-08
-3.921970000000000178e-01,-9.960170000000000412e-01,3.516613000000000100e-01,3.516612052917480469e-01,9.470825196311594141e-08
-2.921969999999999845e-01,-9.960170000000000412e-01,3.639020000000000032e-01,3.639019727706909180e-01,2.722930908527487759e-08
-1.921970000000000067e-01,-9.960170000000000412e-01,3.765084000000000208e-01,3.765083551406860352e-01,4.485931398567899464e-08
-9.219739999999999880e-02,-9.960170000000000412e-01,3.892148000000000274e-01,3.892148137092590332e-01,1.370925900578967571e-08
7.802627999999999821e-03,-9.960170000000000412e-01,4.017661000000000149e-01,4.017660617828369141e-01,3.821716310081768597e-08
1.078025999999999984e-01,-9.960170000000000412e-01,4.139319000000000193e-01,4.139317870140075684e-01,1.129859924509091229e-07
2.078026000000000040e-01,-9.960170000000000412e-01,4.255175999999999958e-01,4.255173802375793457e-01,2.197624206501380684e-07
3.078025999999999818e-01,-9.960170000000000412e-01,4.363705999999999974e-01,4.363703131675720215e-01,2.868324279758915907e-07
4.078026000000000151e-01,-9.960170000000000412e-01,4.463818999999999981e-01,4.463815093040466309e-01,3.906959533672704765e-07
5.078025999999999929e-01,-9.960170000000000412e-01,4.554832999999999799e-01,4.554827809333801270e-01,5.190666198529036990e-07
