v_in0,v_in1,spice_vout0,pytorch_vout0,abs_err
-9.980860000000000287e-01,-9.824140000000000095e-01,-1.627040000000000083e-02,-1.627041399478912354e-02,1.399478912270102349e-08
-8.980860000000000509e-01,-9.824140000000000095e-01,-1.451099999999999959e-02,-1.451088488101959229e-02,1.151189804073082801e-07
-7.980859999999999621e-01,-9.824140000000000095e-01,-1.301390000000000012e-02,-1.301380991935729980e-02,9.008064270031590492e-08
-6.980859999999999843e-01,-9.824140000000000095e-01,-1.174329999999999992e-02,-1.174322515726089478e-02,7.484273910514371853e-08
-5.980860000000000065e-01,-9.824140000000000095e-01,-1.063659999999999953e-02,-1.063652336597442627e-02,7.663402557325782460e-08
-4.980859999999999732e-01,-9.824140000000000095e-01,-9.612010000000000692e-03,-9.611964225769042969e-03,4.577423095772359396e-08
-3.980859999999999954e-01,-9.824140000000000095e-01,-8.582690000000000458e-03,-8.582711219787597656e-03,2.121978759719866936e-08
-2.980860000000000176e-01,-9.824140000000000095e-01,-7.473099999999999882e-03,-7.473155856132507324e-03,5.585613250744247971e-08
-1.980860000000000121e-01,-9.824140000000000095e-01,-6.235899999999999950e-03,-6.235972046852111816e-03,7.204685211186639959e-08
-9.808580000000000076e-02,-9.824140000000000095e-01,-4.865290000000000413e-03,-4.865422844886779785e-03,1.328448867793721733e-07
1.914223999999999960e-03,-9.824140000000000095e-01,-3.404819999999999808e-03,-3.404960036277770996e-03,1.400362777711876283e-07
1.019141999999999965e-01,-9.824140000000000095e-01,-1.948580000000000104e-03,-1.948714256286621094e-03,1.342562866209900951e-07
2.019141999999999881e-01,-9.824140000000000095e-01,-6.362199999999999496e-04,-6.362497806549072266e-04,2.978065490727693082e-08
3.019142000000000214e-01,-9.824140000000000095e-01,3.571474000000000155e-04,3.571212291717529297e-04,2.617082824708577213e-08
4.019141999999999992e-01,-9.824140000000000095e-01,8.350049999999999920e-04,8.349567651748657227e-04,4.823482513426936846e-08
5.019141999999999770e-01,-9.824140000000000095e-01,5.959471999999999513e-04,5.959495902061462402e-04,2.390206146288958999e-09
6.019141999999999548e-01,-9.824140000000000095e-01,-5.486840000000000207e-04,-5.487054586410522461e-04,2.145864105222543283e-08
7.019142000000000436e-01,-9.824140000000000095e-01,-2.757579999999999927e-03,-2.757653594017028809e-03,7.359401702888151986e-08
8.019142000000000214e-01,-9.824140000000000095e-01,-6.144300000000000109e-03,-6.144344806671142578e-03,4.480667114246938976e-08
9.019141999999999992e-01,-9.824140000000000095e-01,-1.076560000000000017e-02,-1.076565682888031006e-02,5.682888030988930694e-08
-9.980860000000000287e-01,-8.824140000000000317e-01,-1.372149999999999932e-03,-1.372143626213073730e-03,6.373786926201774339e-09
-8.980860000000000509e-01,-8.824140000000000317e-01,1.043714000000000057e-03,1.043796539306640625e-03,8.253930664056836897e-08
-7.980859999999999621e-01,-8.824140000000000317e-01,3.068078000000000125e-03,3.068208694458007812e-03,1.306944580076879747e-07
-6.980859999999999843e-01,-8.824140000000000317e-01,4.702124999999999708e-03,4.702195525169372559e-03,7.052516937285091547e-08
-5.980860000000000065e-01,-8.824140000000000317e-01,5.980675000000000401e-03,5.980789661407470703e-03,1.146614074703025676e-07
-4.980859999999999732e-01,-8.824140000000000317e-01,6.968778000000000125e-03,6.968826055526733398e-03,4.805552673327329050e-08
-3.980859999999999954e-01,-8.824140000000000317e-01,7.750996999999999922e-03,7.750973105430603027e-03,2.389456939689421633e-08
-2.980860000000000176e-01,-8.824140000000000317e-01,8.414605999999999822e-03,8.414484560489654541e-03,1.214395103452808877e-07
-1.980860000000000121e-01,-8.824140000000000317e-01,9.029814000000000590e-03,9.029641747474670410e-03,1.722525253301798731e-07
-9.808580000000000076e-02,-8.824140000000000317e-01,9.631079000000000723e-03,9.630918502807617188e-03,1.604971923835352143e-07
1.914223999999999960e-03,-8.824140000000000317e-01,1.020333999999999998e-02,1.020313799381256104e-02,2.020061874389439405e-07
1.019141999999999965e-01,-8.824140000000000317e-01,1.067579999999999918e-02,1.067563891410827637e-02,1.610858917228119580e-07
2.019141999999999881e-01,-8.824140000000000317e-01,1.092407999999999921e-02,1.092395186424255371e-02,1.281357574454966564e-07
3.019142000000000214e-01,-8.824140000000000317e-01,1.078048000000000027e-02,1.078035682439804077e-02,1.231756019594992813e-07
4.019141999999999992e-01,-8.824140000000000317e-01,1.005050000000000041e-02,1.005044579505920410e-02,5.420494079630411299e-08
5.019141999999999770e-01,-8.824140000000000317e-01,8.533725000000000685e-03,8.533686399459838867e-03,3.860054016181779790e-08
6.019141999999999548e-01,-8.824140000000000317e-01,6.046242000000000283e-03,6.046235561370849609e-03,6.438629150673502721e-09
7.019142000000000436e-01,-8.824140000000000317e-01,2.441986000000000157e-03,2.442002296447753906e-03,1.629644775374972099e-08
8.019142000000000214e-01,-8.824140000000000317e-01,-2.369730000000000013e-03,-2.369754016399383545e-03,2.401639938353142267e-08
9.019141999999999992e-01,-8.824140000000000317e-01,-8.412620000000000861e-03,-8.412659168243408203e-03,3.916824340734204046e-08
-9.980860000000000287e-01,-7.824140000000000539e-01,1.305483999999999985e-02,1.305484771728515625e-02,7.717285156402797774e-09
-8.980860000000000509e-01,-7.824140000000000539e-01,1.620113000000000109e-02,1.620113849639892578e-02,8.496398924695558463e-09
-7.980859999999999621e-01,-7.824140000000000539e-01,1.885389000000000162e-02,1.885395497083663940e-02,6.497083663778435714e-08
-6.980859999999999843e-01,-7.824140000000000539e-01,2.097645999999999886e-02,2.097651362419128418e-02,5.362419128532303070e-08
-5.980860000000000065e-01,-7.824140000000000539e-01,2.256820000000000007e-02,2.256823331117630005e-02,3.331117629998270324e-08
-4.980859999999999732e-01,-7.824140000000000539e-01,2.366609999999999894e-02,2.366609126329421997e-02,8.736705778972231329e-09
-3.980859999999999954e-01,-7.824140000000000539e-01,2.433845999999999926e-02,2.433838695287704468e-02,7.304712295458370974e-08
-2.980860000000000176e-01,-7.824140000000000539e-01,2.467060000000000086e-02,2.467051893472671509e-02,8.106527328577417535e-08
-1.980860000000000121e-01,-7.824140000000000539e-01,2.474451000000000081e-02,2.474425733089447021e-02,2.526691055305951839e-07
-9.808580000000000076e-02,-7.824140000000000539e-01,2.461680000000000118e-02,2.461650222539901733e-02,2.977746009838466712e-07
1.914223999999999960e-03,-7.824140000000000539e-01,2.429939000000000057e-02,2.429904043674468994e-02,3.495632553106309270e-07
1.019141999999999965e-01,-7.824140000000000539e-01,2.374768999999999838e-02,2.374739199876785278e-02,2.980012321456004809e-07
2.019141999999999881e-01,-7.824140000000000539e-01,2.285867999999999928e-02,2.285839617252349854e-02,2.838274765007420264e-07
3.019142000000000214e-01,-7.824140000000000539e-01,2.147974000000000064e-02,2.147951722145080566e-02,2.227785491949740848e-07
4.019141999999999992e-01,-7.824140000000000539e-01,1.942682000000000089e-02,1.942673325538635254e-02,8.674461364835406307e-08
5.019141999999999770e-01,-7.824140000000000539e-01,1.650915999999999842e-02,1.650914549827575684e-02,1.450172424158346907e-08
6.019141999999999548e-01,-7.824140000000000539e-01,1.255641000000000049e-02,1.255638897418975830e-02,2.102581024218674877e-08
7.019142000000000436e-01,-7.824140000000000539e-01,7.443945999999999896e-03,7.443964481353759766e-03,1.848135375986936779e-08
8.019142000000000214e-01,-7.824140000000000539e-01,1.112417000000000093e-03,1.112453639507293701e-03,3.663950729360793135e-08
9.019141999999999992e-01,-7.824140000000000539e-01,-6.421460000000000362e-03,-6.421461701393127441e-03,1.701393127079287027e-09
-9.980860000000000287e-01,-6.824139999999999651e-01,2.667730000000000101e-02,2.667731046676635742e-02,1.046676635640952924e-08
-8.980860000000000509e-01,-6.824139999999999651e-01,3.058910000000000101e-02,3.058899939060211182e-02,1.006093978891953178e-07
-7.980859999999999621e-01,-6.824139999999999651e-01,3.393485999999999725e-02,3.393478691577911377e-02,7.308422088347921175e-08
-6.980859999999999843e-01,-6.824139999999999651e-01,3.664142000000000093e-02,3.664144873619079590e-02,2.873619079496458895e-08
-5.980860000000000065e-01,-6.824139999999999651e-01,3.866987000000000202e-02,3.866986930370330811e-02,6.962966939139114686e-10
-4.980859999999999732e-01,-6.824139999999999651e-01,4.002130000000000271e-02,4.002130031585693359e-02,3.158569308880920801e-10
-3.980859999999999954e-01,-6.824139999999999651e-01,4.073546000000000111e-02,4.073537886142730713e-02,8.113857269398394578e-08
-2.980860000000000176e-01,-6.824139999999999651e-01,4.088060999999999778e-02,4.088042676448822021e-02,1.832355117775685827e-07
-1.980860000000000121e-01,-6.824139999999999651e-01,4.053558000000000161e-02,4.053533077239990234e-02,2.492276000992665885e-07
-9.808580000000000076e-02,-6.824139999999999651e-01,3.976696999999999871e-02,3.976660966873168945e-02,3.603312683092552149e-07
1.914223999999999960e-03,-6.824139999999999651e-01,3.860655999999999810e-02,3.860610723495483398e-02,4.527650451641163087e-07
1.019141999999999965e-01,-6.824139999999999651e-01,3.703444999999999654e-02,3.703399747610092163e-02,4.525238990749080870e-07
2.019141999999999881e-01,-6.824139999999999651e-01,3.497254000000000335e-02,3.497216850519180298e-02,3.714948082003677321e-07
3.019142000000000214e-01,-6.824139999999999651e-01,3.229065999999999881e-02,3.229033946990966797e-02,3.205300903308394567e-07
4.019141999999999992e-01,-6.824139999999999651e-01,2.882499000000000172e-02,2.882482856512069702e-02,1.614348793047004627e-07
5.019141999999999770e-01,-6.824139999999999651e-01,2.440534999999999927e-02,2.440527081489562988e-02,7.918510436938364094e-08
6.019141999999999548e-01,-6.824139999999999651e-01,1.888623999999999858e-02,1.888619363307952881e-02,4.636692046977586301e-08
7.019142000000000436e-01,-6.824139999999999651e-01,1.217539999999999942e-02,1.217544078826904297e-02,4.078826904355126182e-08
8.019142000000000214e-01,-6.824139999999999651e-01,4.254446999999999743e-03,4.254490137100219727e-03,4.313710021998373723e-08
9.019141999999999992e-01,-6.824139999999999651e-01,-4.812119999999999592e-03,-4.812151193618774414e-03,3.119361877482185186e-08
-9.980860000000000287e-01,-5.824139999999999873e-01,3.916607999999999895e-02,3.916607052087783813e-02,9.479122160815922626e-09
-8.980860000000000509e-01,-5.824139999999999873e-01,4.383574999999999972e-02,4.383563995361328125e-02,1.100463867184653388e-07
-7.980859999999999621e-01,-5.824139999999999873e-01,4.789453999999999934e-02,4.789441823959350586e-02,1.217604064934763031e-07
-6.980859999999999843e-01,-5.824139999999999873e-01,5.123794999999999739e-02,5.123791098594665527e-02,3.901405334211238696e-08
-5.980860000000000065e-01,-5.824139999999999873e-01,5.379087999999999925e-02,5.379083752632141113e-02,4.247367858811745833e-08
-4.980859999999999732e-01,-5.824139999999999873e-01,5.551605999999999902e-02,5.551594495773315430e-02,1.150422668447226293e-07
-3.980859999999999954e-01,-5.824139999999999873e-01,5.641666000000000042e-02,5.641651153564453125e-02,1.484643554691689182e-07
-2.980860000000000176e-01,-5.824139999999999873e-01,5.653093000000000007e-02,5.653068423271179199e-02,2.457672882080763621e-07
-1.980860000000000121e-01,-5.824139999999999873e-01,5.591846999999999790e-02,5.591815710067749023e-02,3.128993225076648343e-07
-9.808580000000000076e-02,-5.824139999999999873e-01,5.463989000000000346e-02,5.463942885398864746e-02,4.611460113559950891e-07
1.914223999999999960e-03,-5.824139999999999873e-01,5.273400999999999783e-02,5.273342132568359375e-02,5.886743164040808551e-07
1.019141999999999965e-01,-5.824139999999999873e-01,5.019836999999999910e-02,5.019778013229370117e-02,5.898677062979307273e-07
2.019141999999999881e-01,-5.824139999999999873e-01,4.697902000000000328e-02,4.697847366333007812e-02,5.463366699251515080e-07
3.019142000000000214e-01,-5.824139999999999873e-01,4.297341999999999829e-02,4.297301173210144043e-02,4.082678985578569453e-07
4.019141999999999992e-01,-5.824139999999999873e-01,3.804757000000000278e-02,3.804729878902435303e-02,2.712109756497493862e-07
5.019141999999999770e-01,-5.824139999999999873e-01,3.206421999999999745e-02,3.206404298543930054e-02,1.770145606969086849e-07
6.019141999999999548e-01,-5.824139999999999873e-01,2.491592000000000112e-02,2.491591125726699829e-02,8.742733002831126754e-09
7.019142000000000436e-01,-5.824139999999999873e-01,1.655523000000000064e-02,1.655526459217071533e-02,3.459217071469233851e-08
8.019142000000000214e-01,-5.824139999999999873e-01,7.014860999999999840e-03,7.014900445938110352e-03,3.944593811051194665e-08
9.019141999999999992e-01,-5.824139999999999873e-01,-3.586279999999999850e-03,-3.586307168006896973e-03,2.716800689712278727e-08
-9.980860000000000287e-01,-4.824140000000000095e-01,5.021339999999999831e-02,5.021339654922485352e-02,3.450775144797635363e-09
-8.980860000000000509e-01,-4.824140000000000095e-01,5.559137000000000106e-02,5.559116601943969727e-02,2.039805603037958548e-07
-7.980859999999999621e-01,-4.824140000000000095e-01,6.033610999999999835e-02,6.033593416213989258e-02,1.758378601057764001e-07
-6.980859999999999843e-01,-4.824140000000000095e-01,6.431905000000000261e-02,6.431892514228820801e-02,1.248577117946014781e-07
-5.980860000000000065e-01,-4.824140000000000095e-01,6.743490000000000595e-02,6.743472814559936523e-02,1.718544006407141111e-07
