v_in0,v_in1,spice_vout0,pytorch_vout0,abs_err
0.000000000000000000e+00,0.000000000000000000e+00,6.759959999999999580e-02,6.759960204362869263e-02,2.043628696823951429e-09
1.000000000000000056e-01,0.000000000000000000e+00,2.294432000000000069e-02,2.294429019093513489e-02,2.980906486579892878e-08
2.000000000000000111e-01,0.000000000000000000e+00,-1.781260000000000135e-02,-1.781259104609489441e-02,8.953905106939830105e-09
2.999999999999999889e-01,0.000000000000000000e+00,-5.114169999999999827e-02,-5.114172026515007019e-02,2.026515007191864726e-08
4.000000000000000222e-01,0.000000000000000000e+00,-7.538630000000000331e-02,-7.538627088069915771e-02,2.911930084559255505e-08
5.000000000000000000e-01,0.000000000000000000e+00,-9.071419999999999484e-02,-9.071420133113861084e-02,1.331138616000870911e-09
5.999999999999999778e-01,0.000000000000000000e+00,-9.852809999999999346e-02,-9.852813184261322021e-02,3.184261322675130401e-08
6.999999999999999556e-01,0.000000000000000000e+00,-1.007509999999999933e-01,-1.007506698369979858e-01,3.301630020074997063e-07
8.000000000000000444e-01,0.000000000000000000e+00,-9.927249999999999963e-02,-9.927247464656829834e-02,2.535343170129156221e-08
9.000000000000000222e-01,0.000000000000000000e+00,-9.565600000000000491e-02,-9.565602242946624756e-02,2.242946624264607891e-08
1.000000000000000000e+00,0.000000000000000000e+00,-9.104510000000000380e-02,-9.104512631893157959e-02,2.631893157578613085e-08
0.000000000000000000e+00,1.000000000000000056e-01,2.090327999999999978e-02,2.090327814221382141e-02,1.857786178366405139e-09
1.000000000000000056e-01,1.000000000000000056e-01,-2.534780000000000019e-02,-2.534782513976097107e-02,2.513976097087700090e-08
2.000000000000000111e-01,1.000000000000000056e-01,-6.783609999999999640e-02,-6.783612072467803955e-02,2.072467804314914730e-08
2.999999999999999889e-01,1.000000000000000056e-01,-1.023089999999999972e-01,-1.023086160421371460e-01,3.839578628511697289e-07
4.000000000000000222e-01,1.000000000000000056e-01,-1.263489999999999891e-01,-1.263491362333297729e-01,1.362333297838524970e-07
5.000000000000000000e-01,1.000000000000000056e-01,-1.397210000000000119e-01,-1.397214382886886597e-01,4.382886886478143396e-07
5.999999999999999778e-01,1.000000000000000056e-01,-1.439169999999999894e-01,-1.439169496297836304e-01,5.037021635900806871e-08
6.999999999999999556e-01,1.000000000000000056e-01,-1.413139999999999952e-01,-1.413141340017318726e-01,1.340017318773867316e-07
8.000000000000000444e-01,1.000000000000000056e-01,-1.343989999999999907e-01,-1.343984454870223999e-01,5.545129775907930991e-07
9.000000000000000222e-01,1.000000000000000056e-01,-1.252739999999999965e-01,-1.252740472555160522e-01,4.725551605577749115e-08
1.000000000000000000e+00,1.000000000000000056e-01,-1.154789999999999983e-01,-1.154793351888656616e-01,3.351888656633050800e-07
0.000000000000000000e+00,2.000000000000000111e-01,-1.819890000000000049e-02,-1.819894835352897644e-02,4.835352897594735744e-08
1.000000000000000056e-01,2.000000000000000111e-01,-6.965250000000000608e-02,-6.965249776840209961e-02,2.231597906465765391e-09
2.000000000000000111e-01,2.000000000000000111e-01,-1.182010000000000005e-01,-1.182008087635040283e-01,1.912364959721912783e-07
2.999999999999999889e-01,2.000000000000000111e-01,-1.584720000000000018e-01,-1.584716737270355225e-01,3.262729644792905503e-07
4.000000000000000222e-01,2.000000000000000111e-01,-1.866460000000000063e-01,-1.866458207368850708e-01,1.792631149355461417e-07
5.000000000000000000e-01,2.000000000000000111e-01,-2.014219999999999899e-01,-2.014219015836715698e-01,9.841632842011449611e-08
5.999999999999999778e-01,2.000000000000000111e-01,-2.039710000000000134e-01,-2.039710730314254761e-01,7.303142546266627733e-08
6.999999999999999556e-01,2.000000000000000111e-01,-1.970899999999999874e-01,-1.970903724431991577e-01,3.724431991702914502e-07
8.000000000000000444e-01,2.000000000000000111e-01,-1.841200000000000059e-01,-1.841195672750473022e-01,4.327249527036336474e-07
9.000000000000000222e-01,2.000000000000000111e-01,-1.680989999999999984e-01,-1.680991500616073608e-01,1.500616073624172486e-07
1.000000000000000000e+00,2.000000000000000111e-01,-1.513470000000000093e-01,-1.513471454381942749e-01,1.454381942656013393e-07
